uuid,model,text,kbli_code,run1_error,run2_error,run3_error,total_errors,error_pattern,avg_confidence,confidence_std
c08013c9-921b-4635-951d-0ea628eda743,gemini-2.5-flash-lite,memotong daging ayam untuk di giling dan diolah menjadi pentol menghasilkan penggilingan pentol sapi dan ayam di bidang perdagangan,10130,True,True,True,3,XXX,0.9,0.0
ccf931f3-183c-4839-a69c-8f69dedb28cb,gemini-2.5-flash-lite,"usaha jual beli ikan kering dan ikan asin, ikan nya di jemur sendiri, ikan nya beli sama orang, lalu di jual dengan orang, kadang langsung di ambil sama orang menghasilkan ikan asin dan ikan kering tawar di bidang jual beli ikan asin dan ikan tawar kering",10211,True,True,True,3,XXX,0.9,0.0
9565b02a-26ef-44b1-f237-316ec0f8b7ff,gemini-2.5-flash-lite,menjual ikan asin menghasilkan ikan asin/ikan bage di bidang penjualan eceran ikan asin yang diolah sendiri,10211,True,True,True,3,XXX,0.9,0.0
10bb46e7-1ecc-4cfd-cb2f-0260625a67c8,gemini-2.5-flash-lite,karyawan harian di bagian produksi penggorengan usaha kerupuk bakso menghasilkan kerupuk bakso di bidang pengolahan makanan ringan,10216,True,True,True,3,XXX,0.9,0.0
10b91f9f-ee63-42e6-19a1-c7bc61efe4ae,gemini-2.5-flash-lite,memilah/ memilih sais ikan yang akan di bekukan menghasilkan ikan beku di bidang industri pengolahan (pt indo lautan mas),10221,True,True,True,3,XXX,0.9,0.0
bd276532-2deb-4cdf-7c2b-461ce5c21114,gemini-2.5-flash-lite,mengemudi truk angkut udang menghasilkan udang di bidang perusahaan pengolahan ikan,10222,True,True,True,3,XXX,0.9,0.0
88409643-82ae-43ea-ba03-ad874091d680,gemini-2.5-flash-lite,mengolah daun gambir kering menjadi getah gambir kering milik sendiri menghasilkan getah gambir kering di bidang pengolahan daun gambir milik sendiri,10312,True,True,True,3,XXX,0.9,0.0
3604453e-aa04-483c-2f85-21fdeef7b4cf,gemini-2.5-flash-lite,sebagai pedagang tempe dipasar menghasilkan tempe dari kacang kedelai di bidang industri tempe,10391,True,True,True,3,XXX,0.9,0.0
9b08d558-18c1-44e1-a72e-18410cedb9b3,gemini-2.5-flash-lite,membuat dan menjual sule secara keliling ke warung warung dan koperasi sekolah sekitar glagah lamongan menghasilkan produksi sule sendiri di bantu istri di bidang produksi pengolahan dan penjualan sule (susu kedelai),10393,False,True,False,1,OXO,0.9,0.0
097d40bd-d24c-456f-e9ad-05d76c4b2521,gemini-2.5-flash-lite,penjual makanan eceran menghasilkan ikan goreng dan sayur masak di bidang jual makanan siap saji,10399,True,True,True,3,XXX,0.9499999999999998,0.04999999999999999
220cd253-bcf3-45e2-7b8f-b98c769071f2,gemini-2.5-flash-lite,memotong rumput di kebun kelapa milik sendiri menghasilkan kelapa kopra di bidang perkebunan kelapa milik sendiri,10421,True,True,True,3,XXX,0.9,0.0
f6571a67-1a00-4f0a-0922-a4a8947c086a,gemini-2.5-flash-lite,tukang panjat kelapa menghasilkan kelapa biji di bidang perkebunan kelapa,10421,True,True,True,3,XXX,0.9166666666666666,0.028867513459481253
148279fb-741c-4550-0cfa-9ec37985e4eb,gemini-2.5-flash-lite,membersihkan kebun kelapa menghasilkan kopra di bidang perkebunan,10421,True,True,True,3,XXX,0.9,0.0
231512c2-8afb-409f-1589-a0d58d4c70d6,gemini-2.5-flash-lite,membersihkan kebun kelapa menghasilkan kelapa kopra di bidang industri pengelolaan,10421,True,True,True,3,XXX,0.9,0.0
aad9b316-efe2-4679-db70-1b2a24250dbc,gemini-2.5-flash-lite,memanjat kelapa menghasilkan kelapa kopra di bidang jasa panjat kelapa,10421,True,True,True,3,XXX,0.9666666666666667,0.05773502691896256
e9c3e428-1ed2-47fe-d504-296294a7ad91,gemini-2.5-flash-lite,membersihkan kebun kelapa menghasilkan kopra di bidang kebun kelapa milik sendiri,10421,True,True,True,3,XXX,0.9,0.0
1a1d8148-f382-444e-8eb7-e5573e0c326f,gemini-2.5-flash-lite,membantu suami menghasilkan kopra di bidang perkebunan kelapa,10421,True,True,True,3,XXX,0.9,0.0
498774ef-4026-4d3c-9cfa-2cb579d5a19e,gemini-2.5-flash-lite,membantu suami membuat kopra menghasilkan kopra di bidang perkebunan kelapa,10421,False,True,False,1,OXO,0.9333333333333332,0.05773502691896257
b6d38eec-e1ab-423e-72b7-eb5bb369e7d5,gemini-2.5-flash-lite,membersihkan pohon kelapa menghasilkan kopra di bidang perkebunan di milik orang lain,10421,True,True,True,3,XXX,0.9500000000000001,0.04999999999999999
72c4bf67-90e9-4f1f-1c81-867b89a96b8c,gemini-2.5-flash-lite,bekerja kelapa kopra di kebun milik sendiri buru selatan menghasilkan kopra di bidang pertanian,10421,True,True,True,3,XXX,0.9,0.0
73ffe95d-9c98-4ae4-ef68-d6a44a3fddc6,gemini-2.5-flash-lite,pengasuh tpa menghasilkan pengasuh di tempat penitipan anak di perusahaan di bidang perusahaan,10431,True,True,True,3,XXX,1.0,0.0
eb027418-776a-41d0-46bc-92e0ebb3e8ec,gemini-2.5-flash-lite,karyawan perusahaan menghasilkan dryer produksi kayu di bidang pt korindo asiki,10431,True,True,True,3,XXX,0.9166666666666666,0.028867513459481253
583ee1d5-6c4e-421c-b6fd-836eca4c0a41,gemini-2.5-flash-lite,menyusun perencanaan keuangan perusahaan/ manajer keuangan menghasilkan minyak solar di bidang pt fortuna,10437,True,True,True,3,XXX,0.9,0.0
603ecc25-b0fa-4b4a-68ce-120018dc465e,gemini-2.5-flash-lite,jualan es d rumah menghasilkan jual es di bidang usaha jual es,10531,True,True,True,3,XXX,0.9,0.0
20c1af92-e643-41b1-5f0f-74ed7a453cad,gemini-2.5-flash-lite,mengikat dan memasukan padi ke mesin pengolahan padik menjadi gabah menghasilkan gabah di bidang usaha jual beli padi (gabah) secara grosir,10631,True,True,True,3,XXX,0.9,0.0
4c0ac3e8-94d6-414e-fc2d-f285ebb90518,gemini-2.5-flash-lite,membantu mengantar maimunah kaplale ke pasar untuk berbelanja bahan makanan untuk roti. menghasilkan aneka roti manis di bidang industri roti rumahan,10710,True,True,False,2,XXO,0.9,0.0
446f8747-eedd-435d-f2f9-e6cb25dc3060,gemini-2.5-flash-lite,membuat makanan tradisional menghasilkan godok saka di bidang pengolahan ubi menjadi makanan,10710,True,True,True,3,XXX,0.9,0.0
b0141635-f066-409e-06d0-e8df7c326107,gemini-2.5-flash-lite,"membuat jajan rengginang, menggoreng, membungkus jajan rengginang menghasilkan jajan rengginang di bidang industri jajanan rengginang untuk dijual ke pengepul",10710,True,True,True,3,XXX,0.9166666666666666,0.028867513459481253
3b276eaf-c63d-433f-01b5-ccc8d6dd5e8c,gemini-2.5-flash-lite,buruh packing di pabrik snack (ciki) menghasilkan jasa packing snack di bidang buruh pabrik,10710,True,True,True,3,XXX,0.9,0.0
df7b45af-ac5c-4646-7268-a3ebe7d64d7a,gemini-2.5-flash-lite,membuat dan mengantar pesanan snack dan nasi kotak menghasilkan jasa layanan snack dan nasi kotak di bidang produksi makanan kecil dan nasi kotak,10710,True,True,True,3,XXX,0.9,0.0
3202ffa4-41ee-48e6-88af-6a4ffa9cb008,gemini-2.5-flash-lite,membuat dan menjual brownies milik orang lain menghasilkan jasa jual beli brownies di bidang toko brownies milik orang lain,10710,True,True,True,3,XXX,0.9,0.0
6391ee1c-883a-4683-0a4b-b804b4a66366,gemini-2.5-flash-lite,bagian mengepuk kacang di enting2 gepuk 2 holoe menghasilkan enting2 gepuk di bidang industri enting2 gepuk,10710,True,True,True,3,XXX,0.9,0.0
5a653898-f14d-4b00-8ba4-b236563c7ad8,gemini-2.5-flash-lite,kerja di roti gembul produksi menghasilkan jasa penyedia makan minum di bidang jasa penyedia makan minum,10710,True,True,True,3,XXX,0.9,0.0
c0d17b6c-e574-4584-763c-4c9decbe9daf,gemini-2.5-flash-lite,membantu istri membuat aneka kue basah di rumah menghasilkan aneka macam kue basah di bidang industri makanan,10710,True,True,True,3,XXX,0.9,0.0
1d462152-e3bb-43ee-5ced-684ba1f2a8cc,gemini-2.5-flash-lite,membantu ibu membuat kue roti milik orang lain di rumah orang tersebut menghasilkan kue roti di bidang industri pengolahan makanan,10710,True,True,True,3,XXX,0.9333333333333332,0.05773502691896257
157933ea-8c19-4e6c-048d-1edcb5dddc71,gemini-2.5-flash-lite,sopir truk angkut tebu dari ladang ke pabrik gula gending menghasilkan sopir truk angkut tebu di bidang sopir angkut tebu,10721,True,True,True,3,XXX,0.9333333333333332,0.05773502691896257
503b385d-1f09-44ef-ccb1-19f6dd1c2997,gemini-2.5-flash-lite,office boy menghasilkan jasa di bidang karyawan di pag,10721,True,True,True,3,XXX,1.0,0.0
1fbc3447-8a44-42f8-43ea-4ebd6914591c,gemini-2.5-flash-lite,menjual gula aren di rumah sendiri menghasilkan gula aren di bidang pperdagangan eceran gula aren di rumah sendiri,10722,True,True,True,3,XXX,0.9333333333333332,0.05773502691896257
e29a686f-b2c9-41a6-d37d-bf5dd40dcbe9,gemini-2.5-flash-lite,peternak kambing menghasilkan daging kambing di bidang peternakan sendiri,10722,True,True,True,3,XXX,1.0,0.0
b0762c09-6f6e-4b64-593c-cea11f79e7d6,gemini-2.5-flash-lite,menjual kembang kelapa menghasilkan kembang kelapa di bidang pedagang eceran,10729,True,True,True,3,XXX,1.0,0.0
e0b4a7ac-6b01-4c5a-7273-bfe5448c2ff8,gemini-2.5-flash-lite,menyadap nira lontar menghasilkan gula air di bidang perkebunan,10729,True,True,True,3,XXX,0.9,0.0
8c7a623d-b3b9-4338-81dd-c637e41df43d,gemini-2.5-flash-lite,packing menghasilkan jasa pergudangan di bidang pergudangan makanan,10732,True,True,True,3,XXX,1.0,0.0
50ecbb8b-4573-4486-b84c-1d1d29f0c569,gemini-2.5-flash-lite,karyawan pt mitti menghasilkan jasa karyawan di bidang konstruksi,10734,True,True,True,3,XXX,1.0,0.0
bf2d8948-6145-4ab2-1422-fc98545a6e8b,gemini-2.5-flash-lite,"mengolah makanan ringan untuk dijual ke pedagang eceran( tutup ditoko) menghasilkan kerupuk siap makan, mie pedas dan rempeyek di bidang industri pengolahan makanan",10740,True,True,True,3,XXX,0.9,0.0
532a083c-df8d-4d4e-46fb-418c3b07ed09,gemini-2.5-flash-lite,produksi tempe dan tahu di rumah milik sendiri menghasilkan tempe dan tahu di bidang produsen tempe dan tahu milik sendiri,10750,True,True,True,3,XXX,0.9,0.0
54d6760d-277d-4b1b-0df8-b48363d1459e,gemini-2.5-flash-lite,membantu mengantarkan peyek ke pedagang keliling menghasilkan peyek di bidang industri peyek,10750,True,True,True,3,XXX,0.9,0.0
e921154c-c9da-48c1-b860-b84b9e5801dd,gemini-2.5-flash-lite,"menjual gorengan diwarung menghasilkan goreng tahu, pisang dll di bidang industri makanan gorengan pisang, tahu dll",10750,True,True,True,3,XXX,0.9,0.0
640d0432-8815-4dd0-709d-0cf99a3127d6,gemini-2.5-flash-lite,membuat kripik tempe menghasilkan membuat kripik tempe di bidang perdanggan,10750,True,True,True,3,XXX,0.9,0.0
48be6214-fef2-4954-b3f7-1be0ad7ba573,gemini-2.5-flash-lite,membantu membuat dan menjual gorengan tahu isi di rumah sendiri menghasilkan gorengan tahu isi di bidang industri pengolahan,10750,True,True,True,3,XXX,0.9,0.0
ab99cd2f-e269-4e62-cf36-e5930800cec1,gemini-2.5-flash-lite,memasak ketringan milik tetangga menghasilkan jasa ketring di bidang ketringan,10750,True,True,True,3,XXX,0.8833333333333333,0.028867513459481315
fab141e0-273b-4571-e3d3-d3065d5d6ef1,gemini-2.5-flash-lite,"menjual gorengan menghasilkan gorengan tempe,tahu dll di bidang usaha perorangan penjual gorengan",10750,True,True,True,3,XXX,0.9333333333333332,0.05773502691896257
0ffc40bd-dc4a-4f8b-e7a1-c2406467cc41,gemini-2.5-flash-lite,membantu menyiapkan jualan nasi kuning menghasilkan jualan nasi kuning di bidang jualan nasi kuning,10750,False,True,False,1,OXO,0.9,0.0
d9dea199-b3eb-4c71-deb7-94dbd3b6e7ad,gemini-2.5-flash-lite,menjual keripik sambal menghasilkan kripik sambal di bidang menjual keripik sambal dirumah milik sendiri,10750,True,True,True,3,XXX,0.9,0.0
c027d06a-be56-4cee-166a-54e3819f2b2b,gemini-2.5-flash-lite,menerima pesanan kue basah menghasilkan kue basah di bidang kue basah,10750,False,False,True,1,OOX,0.9,0.0
c3229d36-4082-47f7-6c74-1dc502bd63b4,gemini-2.5-flash-lite,pisang bakar gepe menghasilkan pisang di bidang makanan,10750,True,True,True,3,XXX,0.9,0.0
8a2ad350-9025-488d-bf11-87a6990ec6c8,gemini-2.5-flash-lite,jualan online seperti cireng menghasilkan makanan ringan di bidang makaman ringan,10750,True,True,True,3,XXX,0.9,0.0
